,ids,titles,aggregateLikes,spoonacularScore,healthScore,pricePerServing,readyInMinutes,servings,weightWatcherSmartPoints,veryHealthy,vegetarian,vegan,glutenFree,dairyFree,whole30,calories,fat,saturated_fat,carbs,sugar,cholesterol,sodium,protein
798,696160,Bean & Salmon Salad with Anchovy-Arugula Dressing,971,100.0,100.0,314.14,30,4,11,True,False,False,True,True,False,442.37,24.49,3.48,40.22,4.99,27.38,447.8,22.74
799,204689,Cook the Book: Brussels Sprout-Potato Hash,444,100.0,100.0,122.81,45,4,2,True,True,True,True,True,True,143.13,2.58,0.38,26.53,5.19,0.0,611.32,5.96
800,610300,Greek Style Kale Edamame Zucchini Salad,167,100.0,85.0,197.05,15,2,8,True,False,False,True,False,False,327.45,20.83,4.82,24.06,3.73,15.13,374.38,17.38
801,701320,Twice Baked Hummus Potatoes with Rosemary,526,100.0,100.0,151.26,50,6,9,True,True,True,True,True,False,347.26,18.43,2.62,38.69,3.13,0.0,375.28,9.82
802,842484,Cauliflower Steaks with Olive Relish and Tomato Sauce,7136,100.0,79.0,171.4,25,4,4,True,False,False,True,True,True,212.7,14.56,2.14,13.44,5.46,3.47,331.95,10.33
803,983561,One Pot Thai Peanut Veggie Pasta,1631,100.0,93.0,246.01,25,4,12,True,True,True,False,True,False,457.99,17.7,2.92,63.67,6.4,0.0,1556.86,19.93
804,506513,Spicy Sweet Potato and Black Bean Chili with Avocado,9668,100.0,75.0,122.43,45,5,6,True,True,False,True,False,False,230.78,7.25,1.19,36.36,8.43,0.95,462.68,9.04
805,510493,Vegetable Spring Rolls with Peanut Sauce,2317,100.0,93.0,393.35,45,2,11,True,False,False,True,True,False,510.43,15.12,2.75,69.79,13.99,6.84,1162.46,27.53
806,608130,Mediterranean Chickpea and Lentil Salad,758,100.0,96.0,161.21,45,6,7,True,True,False,True,False,False,331.64,9.72,2.82,47.96,14.5,11.13,539.57,16.26
807,848967,Veggie Bites Using Fresh Veggies,450,100.0,91.0,56.26,35,15,1,True,True,True,True,True,False,103.88,5.02,0.79,14.38,3.87,0.0,111.69,3.25
808,772956,Sunny's Nunya Business Instant Rice and Pesto,560,100.0,70.0,148.39,10,6,10,True,True,True,True,True,False,358.21,14.47,1.24,50.6,1.47,0.0,200.7,6.99
809,471449,Fresh Veggie Bagel Sandwich,115,100.0,93.0,269.04,15,1,8,True,False,False,False,True,False,424.13,3.68,0.4,81.19,16.01,0.0,774.28,16.45
810,508040,Spinach Dip,3951,100.0,48.0,32.54,15,10,0,False,False,False,True,False,False,18.33,0.76,0.43,1.58,0.3,1.7,179.02,1.78
811,535673,One Pan Mexican Quinoa,290560,100.0,63.0,165.5,35,4,11,True,True,True,True,True,False,440.21,14.65,2.06,66.41,6.93,0.0,1063.87,16.39
812,880119,Garden Vegetable Quinoa Soup,649,100.0,67.0,115.49,50,8,4,True,True,True,True,True,False,202.83,3.49,0.47,34.81,4.43,0.0,597.07,9.02
813,522029,"The Cheeky Monkey Smoothie {Ginger, Banana, Leafy Greens}",636,100.0,100.0,195.29,45,1,0,True,True,True,True,True,True,241.81,2.13,0.3,55.64,22.85,0.0,84.2,9.65
814,516705,"A Healthier Way to Detox, and a Green Smoothie",1748,100.0,56.0,62.92,5,3,1,True,False,False,True,True,True,102.93,3.77,0.27,17.48,10.24,0.0,74.29,2.57
815,535944,Green Smoothie,2099,100.0,60.0,137.3,5,2,0,True,True,False,True,False,False,132.9,0.74,0.14,28.99,18.07,1.67,37.01,6.0
816,616560,"BLACK BEAN, BROCCOLI & AVOCADO SALAD + CUMIN LIME TAHINI DRESSING",862,100.0,100.0,285.29,15,2,15,True,True,True,True,True,False,549.06,27.88,4.04,62.99,6.9,0.0,1147.78,21.9
817,482637,Strawberry Green Smoothie,983,100.0,100.0,335.29,10,1,5,True,False,False,True,True,False,294.16,6.61,0.75,55.74,15.04,0.0,61.21,8.1
